id,listing_id,post_town,outcode,property_type,first_published_date_day,first_published_date_month,first_published_date_year,last_published_date_day,last_published_date_month,last_published_date_year,num_bathrooms,num_bedrooms,num_floors,num_recepts,price
31451,49801536,Southampton,18,2,9,8,2019,10,8,2019,2,3,0,2,400000
31452,52359479,Southampton,19,3,8,8,2019,23,8,2019,2,3,0,2,395000
31453,52351256,Southampton,16,2,23,8,2019,24,8,2019,2,5,0,3,395000
31454,52509111,Southampton,16,2,7,12,2018,29,7,2019,1,3,0,2,395000
31455,49899908,Southampton,30,3,25,6,2019,22,8,2019,1,3,0,3,395000
31456,51883088,Southampton,18,5,22,5,2018,21,8,2019,0,2,0,0,395000
31457,47718327,Southampton,14,5,4,6,2019,22,8,2019,2,2,0,1,395000
31458,51650591,Southampton,18,0,30,4,2019,13,8,2019,2,4,0,1,395000
31459,51280386,Southampton,16,3,2,8,2019,3,8,2019,0,3,0,0,395000
31460,52289572,Southampton,16,2,30,3,2019,22,8,2019,0,3,0,0,395000
31461,50978543,Southampton,18,5,22,5,2018,21,8,2019,0,2,0,0,390000
31462,47718244,Southampton,15,2,15,11,2018,30,1,2019,2,6,0,1,410000
31463,49692661,Southampton,15,2,15,5,2019,15,8,2019,2,6,0,1,390000
31464,51453419,Southampton,18,2,19,7,2019,24,8,2019,2,4,0,3,390000
31465,52148546,Southampton,15,2,10,4,2019,16,7,2019,1,3,0,2,400000
31466,51087380,Southampton,14,5,26,4,2019,13,8,2019,0,2,0,0,390000
31467,47718257,Southampton,18,3,15,8,2019,28,8,2019,2,3,0,3,390000
31468,47456740,Southampton,19,3,19,7,2018,28,8,2019,1,4,0,2,389950
31469,52419006,Southampton,18,7,8,2,2019,23,8,2019,1,3,0,1,389950
31470,45071781,Southampton,18,0,9,8,2019,14,8,2019,1,3,0,2,385000
31471,50432868,Southampton,30,2,12,6,2019,22,8,2019,2,4,0,2,385000
31472,52355351,Southampton,15,1,27,8,2019,27,8,2019,1,4,0,1,385000
31473,51747115,Southampton,17,0,24,7,2019,24,7,2019,0,3,0,0,399950
31474,52533061,Southampton,30,7,4,3,2019,1,4,2019,1,3,1,2,385000
31475,51886534,Southampton,17,3,14,5,2019,2,8,2019,0,3,0,0,385000
31476,50685564,Southampton,18,3,28,2,2019,9,8,2019,1,3,0,2,385000
31477,51432638,Southampton,14,8,29,3,2019,7,8,2019,0,3,0,0,385000
31478,50651600,Southampton,15,3,7,8,2019,8,8,2019,1,3,0,2,385000
31479,50957770,Southampton,15,2,15,7,2019,13,8,2019,1,3,0,2,385000
31480,52335288,Southampton,16,0,12,7,2018,17,6,2019,1,4,0,2,385000
31481,52099093,Southampton,19,7,17,12,2018,24,5,2019,2,2,1,2,380000
31482,48348112,Southampton,30,0,2,7,2019,9,7,2019,2,2,0,1,380000
31483,49970745,Southampton,18,3,13,8,2019,24,8,2019,3,3,0,1,380000
31484,51956391,Southampton,14,1,25,3,2019,27,8,2019,3,5,0,2,380000
31485,52397858,Southampton,30,3,15,8,2019,28,8,2019,1,3,0,1,400000
31486,50914069,Southampton,18,2,17,8,2019,28,8,2019,1,3,0,1,390000
31487,52423376,Southampton,18,0,9,7,2019,28,8,2019,0,4,0,0,380000
31488,52440194,Southampton,16,3,23,8,2019,28,8,2019,1,3,0,1,379970
31489,52036274,Southampton,19,3,20,8,2019,28,8,2019,1,3,0,2,379970
31490,52504980,Southampton,17,0,7,5,2019,8,8,2019,2,4,0,3,375000
31491,52463334,Southampton,15,2,10,8,2019,23,8,2019,0,4,0,0,385000
31492,51355754,Southampton,19,3,5,7,2019,23,8,2019,1,3,0,1,375000
31493,52366324,Southampton,30,3,9,8,2019,10,8,2019,1,3,0,2,375000
31494,51997029,Southampton,18,2,16,8,2019,22,8,2019,2,4,0,2,375000
31495,52358345,Southampton,19,2,16,8,2019,17,8,2019,0,4,0,0,375000
31496,52426584,Southampton,14,5,16,2,2019,22,8,2019,2,2,0,1,375000
31497,52435737,Southampton,17,0,19,7,2019,16,8,2019,0,6,0,0,375000
31498,50697235,Southampton,30,0,4,5,2019,7,8,2019,1,3,0,2,400000
31499,52149390,Southampton,14,8,10,6,2019,27,8,2019,1,3,0,1,349500
31500,51336635,Southampton,17,5,1,4,2019,22,8,2019,2,2,0,1,360000
31501,51716581,Southampton,19,3,22,8,2019,25,8,2019,1,3,0,2,349500
31502,52403255,Southampton,30,3,22,7,2019,22,8,2019,1,4,0,1,343950
31503,52485292,Southampton,15,5,17,5,2019,22,8,2019,2,3,0,1,339950
31504,49179116,Southampton,19,3,12,6,2019,28,8,2019,1,3,0,2,343950
31505,51475724,Southampton,17,2,12,6,2019,28,8,2019,1,3,0,2,341000
31506,51751525,Southampton,15,2,28,6,2019,20,8,2019,0,4,0,0,350000
31507,51751565,Southampton,15,2,18,6,2019,28,8,2019,1,3,0,2,341000
31508,51915339,Southampton,15,2,25,6,2019,25,8,2019,1,3,0,1,340000
31509,51810086,Southampton,14,5,6,7,2019,9,8,2019,2,2,0,1,340000
31510,51878712,Southampton,14,5,21,6,2019,20,8,2019,0,2,0,0,340000
31511,52003376,Southampton,15,0,9,1,2019,28,7,2019,1,3,0,2,340000
31512,51842324,Southampton,30,3,14,6,2019,7,8,2019,1,3,0,2,340000
31513,50117930,Southampton,15,5,17,5,2019,22,8,2019,2,3,0,1,350000
31514,51774102,Southampton,16,2,23,8,2019,28,8,2019,1,3,0,3,340000
31515,51476940,Southampton,18,2,20,5,2019,28,8,2019,1,3,0,1,340000
31516,52504856,Southampton,19,7,1,7,2019,28,8,2019,2,3,0,1,350000
31517,51501358,Southampton,19,3,25,7,2019,16,8,2019,1,4,0,2,340000
31518,51945204,Southampton,15,2,15,7,2019,10,8,2019,1,3,0,2,340000
31519,52204788,Southampton,16,5,13,11,2018,20,8,2019,0,2,0,0,350000
31520,52097805,Southampton,16,2,25,7,2019,31,7,2019,2,3,0,0,340000
31521,49656989,Southampton,17,5,3,7,2019,22,8,2019,2,2,0,1,335000
31522,52208451,Southampton,14,5,26,6,2019,21,8,2019,1,2,0,1,349000
31523,52403267,Southampton,15,2,31,7,2019,1,8,2019,0,4,0,0,340000
31524,51896199,Southampton,16,5,15,7,2019,20,8,2019,1,2,0,1,335000
31525,52262491,Southampton,19,2,10,8,2019,11,8,2019,2,3,0,3,330000
31526,52089175,Southampton,19,3,12,2,2019,13,8,2019,0,5,0,0,340000
31527,52367124,Southampton,14,5,8,7,2019,9,7,2019,2,2,0,1,330000
31528,50463939,Southampton,15,0,1,8,2018,22,7,2019,1,3,0,2,330000
31529,51864733,Southampton,17,3,17,5,2019,15,8,2019,1,3,0,2,340000
31530,48597096,Southampton,16,2,29,6,2019,21,8,2019,1,3,0,1,325000
31531,51478751,Southampton,30,1,16,8,2019,22,8,2019,1,3,0,0,330000
31532,51932727,Southampton,16,2,9,7,2019,20,8,2019,1,3,2,2,330000
31533,52426244,Southampton,30,3,15,11,2018,6,8,2019,2,3,0,1,330000
31534,52024946,Southampton,14,5,9,8,2019,23,8,2019,2,2,0,1,330000
31535,50694419,Southampton,19,7,15,7,2019,28,8,2019,1,4,0,2,350000
31536,52358523,Southampton,17,2,7,8,2019,28,8,2019,2,4,0,3,340000
31537,52095086,Southampton,14,5,1,7,2019,28,8,2019,2,2,0,1,330000
31538,52336667,Southampton,15,2,2,7,2019,31,7,2019,1,3,0,2,300000
31539,51939950,Southampton,18,7,25,5,2019,28,8,2019,1,2,0,2,330000
31540,51954652,Southampton,18,0,5,7,2019,21,8,2019,1,4,0,1,330000
31541,51561990,Southampton,30,2,29,11,2018,15,8,2019,2,4,0,1,340000
31542,51994996,Southampton,19,2,12,6,2019,26,7,2019,0,3,0,0,330000
31543,49824927,Southampton,18,3,9,8,2019,10,8,2019,2,3,0,2,330000
31544,51741165,Southampton,19,2,10,6,2019,26,7,2019,0,4,0,0,330000
31545,52354780,Southampton,15,0,16,7,2019,15,8,2019,2,3,0,3,330000
31546,51725199,Southampton,30,3,25,5,2019,23,8,2019,3,3,0,3,330000
31547,52403224,Southampton,16,1,11,7,2019,12,7,2019,1,3,0,1,330000
31548,51559959,Southampton,16,2,28,5,2019,23,8,2019,1,3,0,2,330000
